RECIPE_ID,TITLE,AGGREGATE_LIKES,SOURCE_URL,READY_IN_MINUTES,SERVINGS,IMAGE_TYPE,IMAGE,SOURCE_NAME,VERY_POPULAR
716558,Slow-Roasted  Twice-Fried Porterhouse Steak,23300,http://www.bonappetit.com/recipe/slow-roasted-twice-fried-porterhouse,45,4,jpg,https://spoonacular.com/recipeImages/slow-roasted-twice-fried-porterhouse-steak-716558.jpg,Bon Appetit,TRUE
746819,Homemade Berry Granola Parfaits,299,http://www.foodnetwork.com/recipes/nancy-fuller/homemade-berry-granola-parfaits.html,55,8,jpeg,https://spoonacular.com/recipeImages/homemade-berry-granola-parfaits-746819.jpeg,Foodnetwork,FALSE
810495,Easy Cranberry Hand Pies with White Chocolate Drizzle,163,http://amandascookin.com/easy-cranberry-hand-pies-white-chocolate-drizzle/,25,10,jpg,https://spoonacular.com/recipeImages/easy-cranberry-hand-pies-with-white-chocolate-drizzle-810495.jpg,Amandas Cooking,FALSE
98973,Delicious Asian Chicken Salad With Chow Mein Noodles,15,http://www.food.com/recipe/delicious-asian-chicken-salad-with-chow-mein-noodles-300183,15,6,jpg,https://spoonacular.com/recipeImages/delicious-asian-chicken-salad-with-chow-mein-noodles-2-98973.jpg,Food.com,FALSE
485842,Brown Butter Pasta,582,http://www.yourhomebasedmom.com/brown-butter-pasta/,45,4,jpg,https://spoonacular.com/recipeImages/Brown-Butter-Pasta-485842.jpg,Your Homebased Mom,TRUE
17665,Grilled Asian Flank Steak With Sweet Slaw,11,http://www.bonappetit.com/recipes/quick-recipes/2008/06/grilled_asian_flank_steak_with_sweet_slaw,45,4,jpg,https://spoonacular.com/recipeImages/grilled-asian-flank-steak-with-sweet-slaw-2-17665.jpg,Bon Appetit,FALSE
70216,Fresh Raspberry Pie,43,http://www.finecooking.com/recipes/fresh-raspberry-pie.aspx,45,8,jpg,https://spoonacular.com/recipeImages/fresh-raspberry-pie-2-70216.jpg,,FALSE
476311,Sausage Balls,167,http://addapinch.com/cooking/2013/12/16/sausage-balls-recipe/,25,60,jpg,https://spoonacular.com/recipeImages/Sausage-Balls-476311.jpg,Add A Pinch,FALSE
528821,Mandarin Peel Mini Cupcakes & Flowers,55,http://www.amomstake.com/2013/12/mandarin-peel-mini-cupcakes/,26,24,jpg,https://spoonacular.com/recipeImages/Mandarin-Peel-Mini-Cupcakes---Flowers-528821.jpg,A Moms Take,FALSE
534279,Buttermilk Chicken,204,http://whenisdinner.com/buttermilk-chicken-recipe/,70,4,jpg,https://spoonacular.com/recipeImages/Buttermilk-Chicken-534279.jpg,When is Dinner,FALSE
227306,Frijoles Rojos Colombianos (Colombian-Style Red Beans),521,http://www.mycolombianrecipes.com/frijoles-rojos-colombianos-colombian-style-red-beans,45,8,jpg,https://spoonacular.com/recipeImages/Frijoles-Rojos-Colombianos-(Colombian-Style-Red-Beans)-227306.jpg,My Colombian Recipes,TRUE
79589,Homemade Mayonnaise,50,http://umamigirl.com/2011/04/easy-how-to-homemade-mayonnaise.html,45,1,jpg,https://spoonacular.com/recipeImages/homemade_mayonnaise-79589.jpg,Unami Girl,FALSE
