CUISINE_TYPE,RECIPE_ID
american,618148
mexican,496435
american,597651
greek,532569
mediterranean,532569
european,532569
european,720302
irish,720302
american,249358
mediterranean,492006
european,492006
italian,492006
mediterranean,15108
european,15108
italian,15108
american,349791
american,210081
mediterranean,622681
european,622681
italian,622681
japanes,602623
asian,602623
middl eastern,532457
mediterranean,796871
european,796871
italian,796871
mediterranean,706022
european,706022
italian,706022
cajun,137924
creol,137924
jewish,697288
american,729476
american,608708
german,674627
european,674627
mexican,609291
mediterranean,539846
european,539846
italian,539846
middl eastern,490336
american,731449
mexican,499046
mediterranean,413283
european,413283
italian,413283
mediterranean,583704
european,583704
italian,583704
american,599456
asian,676837
vietnames,676837
chines,202926
asian,202926
american,511106
mediterranean,620293
european,620293
italian,620293
southern,286654
mexican,747171
mexican,291052
southern,761260
mediterranean,485412
european,485412
french,485412
american,446100
asian,730422
thai,730422
southern,489215
mexican,740384
american,402402
mexican,597164
mediterranean,548235
european,548235
italian,548235
cajun,508918
creol,508918
mediterranean,522475
european,522475
french,522475
mediterranean,606436
european,606436
italian,606436
greek,4387
mediterranean,4387
european,4387
asian,474443
vietnames,474443
southern,139575
mexican,99317
southern,586888
southern,683444
mediterranean,756247
european,756247
italian,756247
mexican,604746
european,574367
english,574367
british,574367
scottish,574367
american,611739
asian,586740
indian,586740
european,599640
eastern european,599640
middl eastern,609218
american,63569
american,770066
southern,605428
american,214806
mediterranean,568528
european,568528
french,568528
middl eastern,556662
mediterranean,19709
european,19709
italian,19709
mediterranean,200944
european,200944
italian,200944
cajun,586287
creol,586287
middl eastern,611548
european,528129
english,528129
british,528129
scottish,528129
mexican,517947
mediterranean,677786
european,677786
italian,677786
european,56284
irish,56284
greek,552637
mediterranean,552637
european,552637
asian,546611
indian,546611
american,504747
asian,472096
indian,472096
southern,572859
scandinavian,444208
european,444208
nordic,444208
mediterranean,738172
european,738172
italian,738172
mexican,616089
european,545468
english,545468
british,545468
scottish,545468
american,590726
mediterranean,90926
european,90926
italian,90926
mediterranean,756693
european,756693
italian,756693
american,668315
chines,520702
asian,520702
american,222707
asian,794052
vietnames,794052
american,33803
european,395102
english,395102
british,395102
scottish,395102
american,483129
american,463108
japanes,619748
asian,619748
american,572009
spanish,196171
european,196171
mediterranean,479167
european,479167
french,479167
american,826455
mediterranean,178467
european,178467
italian,178467
southern,620646
american,63368
mexican,214316
southern,475979
mexican,594807
mexican,736783
mexican,4881
mediterranean,620713
european,620713
italian,620713
american,63938
southern,667873
european,618573
english,618573
british,618573
scottish,618573
american,564388
mediterranean,132187
european,132187
italian,132187
chines,476240
asian,476240
mexican,674377
scandinavian,471525
european,471525
